id,name,symbol,circulating_supply,total_supply,price,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_caplast_updated
1,Bitcoin,BTC,19465231,19465231,25996.29222934314,-0.62876726,-0.27495308,-13.26888766,-14.91909897,-0.83940438,506023833387.6692
1027,Ethereum,ETH,120211067.73078752,120211067.73078752,1630.4373586227307,-0.57300689,-2.11726594,-13.42507373,-13.52876422,-8.84470079,195996615748.20337
825,Tether USDt,USDT,82853331627.82196,86684257831.1876,0.9996743699232199,0.00244739,-0.01880367,-0.03547117,-0.09502177,-0.03345425,82826352091.0825
1839,BNB,BNB,153851478.37933668,153851478.37933668,213.6385121285448,0.03509103,1.59779601,-11.90011591,-12.67890585,-29.98995067,32868600929.73847
52,XRP,XRP,52841868447,99988501123,0.5185985076028194,-0.52053508,-0.37731514,-29.67432433,5.42708061,15.41288291,27403714115.558716
3408,USD Coin,USDC,25935682203.289482,25935682203.289482,0.9999818939628626,-0.01159591,-0.00958924,-0.00747424,-0.01613605,-0.00515262,25935212610.864326
2010,Cardano,ADA,35058166923.098,36091964625.425,0.2587180778010684,-0.04162514,-1.543191,-18.33288753,-12.29709994,-28.36970867,9070181557.572912
74,Dogecoin,DOGE,140700346383.7052,140700346383.7052,0.06268083826429253,0.07356713,-0.05058984,-12.42100228,-7.1583209,-10.70024141,8819215655.406963
5426,Solana,SOL,407773277.80885005,555642429.8765398,20.490274444454673,-0.62568124,-3.2209282,-16.75957315,18.59971201,7.42578455,8355386373.418196
1958,TRON,TRX,89401593000.71623,89401596318.07043,0.0755661744006391,-0.00412748,0.642276,-8.75587496,3.26185342,-1.97798893,6755736368.387079
6636,Polkadot,DOT,1215674253.5663626,1347933610.8715425,4.408624885453683,-0.42808183,-0.68674089,-17.91799355,-13.88101284,-15.48103854,5359451766.877997
4943,Dai,DAI,5347888595.7464075,5347888595.7464075,0.999594380539778,-0.09166497,0.01530636,0.03391482,-0.04842409,0.03235401,5345719388.060873
3890,Polygon,MATIC,9319469069.28493,10000000000,0.5492710254030391,-0.08186683,-1.23813212,-27.49465213,-18.57999225,-36.84919042,5118914331.898039
2,Litecoin,LTC,73570614.22743528,84000000,64.77996276849666,-0.23293516,-2.99948301,-30.13000586,-28.21412516,-23.82849646,4765901650.508688
11419,Toncoin,TON,3431892087.62,5047558528,1.3829245460700288,-0.04398431,2.1299211,-5.53978668,-0.5520782,-29.65051995,4746047807.433212
5994,Shiba Inu,SHIB,589346914631298.1,589589040239379.6,7.995670850424579e-06,-0.02097783,0.69376867,1.62527036,1.44498013,-5.53394733,4712223946.105133
3717,Wrapped Bitcoin,WBTC,162405.14768531,162405.14768531,26014.673499317574,-0.26426277,-0.40439049,-13.27070084,-14.82293057,-1.04177383,4224916891.6417904
1831,Bitcoin Cash,BCH,19483537.5,19483537.5,187.07784814450886,0.90410202,1.19550116,-25.24837196,1.48007027,67.73813263,3644938269.7428436
3957,UNUS SED LEO,LEO,929539207.9,985239504,3.826521736083207,0.1848889,0.75118423,-3.79146515,-0.0976623,7.3089345,3556901983.570917
5805,Avalanche,AVAX,344075980.26245433,430795430.26245433,10.124471610452973,-0.38849424,-2.07392376,-25.11845616,-23.62213651,-27.83044445,3483587494.005996
512,Stellar,XLM,27390634128.096962,50001787237.47349,0.12068457415381219,0.11480243,-2.80034314,-21.90164395,35.01797355,39.98363439,3305627015.5522566
1975,Chainlink,LINK,538099970.4527867,1000000000,6.121816986358721,0.03952938,-0.65859655,-21.75811281,1.56343479,-2.54311741,3294149539.4769955
4687,Binance USD,BUSD,3196632551.859097,3196632551.859097,0.9999191918103659,-0.08835514,-0.01372301,-0.01527615,-0.03772751,0.02447916,3196374237.7696557
2563,TrueUSD,TUSD,2754461423.7999997,2754461423.7999997,0.9990860974795173,-0.09397879,-0.03682108,-0.05011857,-0.04144872,-0.09061427,2751944114.5622163
7083,Uniswap,UNI,577501031,1000000000,4.677644542074514,-0.1058981,-1.68342846,-23.846155,-3.52377495,-5.43734288,2701344545.699555
328,Monero,XMR,18321877.47873606,18321877.47873606,145.2268408789096,-0.39506396,-2.68659506,-11.02613119,-5.74823121,-3.44285177,2660828385.207279
3897,OKB,OKB,60000000,300000000,42.906480521753714,-0.22147396,-0.87920374,-0.6296815,-4.53877123,-4.1702161,2574388831.305223
3794,Cosmos,ATOM,346608690,0,7.385047033735038,-0.24848639,-1.94500368,-20.06364996,-20.65217896,-29.106214,2559721477.9512873
1321,Ethereum Classic,ETC,142635311.3949851,210700000,15.679569324019964,1.08945931,-0.6556983,-15.98654283,-16.22479444,-11.4963021,2236460253.0708437
4642,Hedera,HBAR,33083237217.601196,50000000000,0.058054722196637924,-1.82852959,-6.86619703,9.09106806,11.81472634,14.81762313,1920638146.03331
8916,Internet Computer,ICP,441680316.47296476,503978424.34303945,3.4236475712965526,-0.02356969,-1.92779764,-18.56333588,-21.08314273,-28.53450005,1512157742.7821586
2280,Filecoin,FIL,442986416,1961477798,3.394594450019276,-0.14164885,-0.53402742,-25.66534953,-15.55210121,-23.42726024,1503759229.1875303
8000,Lido DAO,LDO,879192284.2083838,1000000000,1.6342105967710994,0.00168408,0.41171175,-20.03300385,-14.38718325,-19.706729,1436785347.452729
27075,Mantle,MNT,3234382070.7631407,6219316794.99,0.4222849127241878,-0.364958,-0.56969649,-26.86320571,-12.24172257,-12.24172257,1365830750.4688907
